#separator:tab
#html:false
go-ahead   /ˈɡoʊ əhed/          n.前进，进步；放行信号adj.前进着的前进着的 30%，放行信号 30%，前进 20%，进步 20%词性：名词 58%, 形容词 42%	go-ahead  /ˈɡoʊ əhed/       n.前进，进步；放行信号adj.前进着的前进着的 30%，放行信号 30%，前进 20%，进步 20%词性：名词 58%, 形容词 42%                                go-ahead
zit   /zɪt/          n.<美>丘疹	zit  /zɪt/       n.<美>丘疹                 校园俚语, 词源不详.      noun [ C ]uk/zɪt/ us/zɪt/ informal UK usually spot, US usually pimple  a temporary small mark on the skin小脓疱，丘疹       A zit is a pimple. This is a slang term for those little inflamed bumps of skin no one wants.If you have acne, you're likely to have zits: little raised areas of your skin that are usually filled with pus. Your doctor will call those little bumps pimples, but many people call them zits, which is an informal, slangy word. Teenagers tend to get a lot of zits: it's one of the difficult parts of adolescence. It seems like a new zit always pops up at the worst possible time, like right before prom.zit: zits   zit
fatalistic   /ˌfeɪtəˈlɪstɪk/          adj.宿命论的宿命论的 100%	fatalistic  /ˌfeɪtəˈlɪstɪk/       adj.宿命论的宿命论的 100%                             Use the adjective fatalistic to describe someone who believes outcomes are determined in advance and can't be changed. If you think there’s no way you can pass your math exam and studying won’t change anything, then you’re fatalistic.When you pronounce fatalistic, you can hear the word fate. That’s a clue that fatalistic is in some way related to fate — as in destiny. A fatalistic person believes in destiny: whatever is meant to happen will happen. Fatalistic often relates to bad things. If someone has a fatalistic attitude toward a situation, chances are that means the person is expecting things to turn out badly and sees no point in trying to change that outcome.fatalistic: fatalistically/fatal: fataler, fatalest, fatalism, fatality, fatally, nonfatal/fatalism: fatalisms, fatalist, fatalistic/fatalist: fatalists/fatality: fatalities/nonfatal: nonfatally    fatalistic
cutaneous   /kjuˈteɪniəs/          adj.皮肤的；侵犯皮肤的皮肤的 60%，侵犯皮肤的 40%	cutaneous  /kjuˈteɪniəs/       adj.皮肤的；侵犯皮肤的皮肤的 60%，侵犯皮肤的 40%                 来自 cuticle, 皮肤, 甲小皮.      adjectiveuk/kjuˈteɪ.ni.əs/ us/kjuːˈteɪ.ni.əs/ specialized  relating to the skin皮肤的 Lesions are more common in internal organs but may rarely be seen as one or more cutaneous ulcers.机能障碍一般多见于内部器官，但偶尔也会以一处或多处皮肤溃烂的情况反映出来。 Cutaneous anthrax occurs when anthrax touches a cut or scrape on the skin.皮肤炭疽病的发生是因为炭疽接触到了皮肤上的割伤或擦伤。          cutaneous
equitably   /ˈekwɪtəbli/          adv.公正地公平地 100%	"equitably  /ˈekwɪtəbli/       adv.公正地公平地 100%                             When you do something equitably, you do it fairly or in an equal, impartial way. To share a pizza equitably, you need to give each of your friends the same number of slices.In an ideal society, people would be equitably paid for the work they do: men and women would make the same wage for doing the same job, for example. Most fair-minded people try to treat everyone equitably, although most of us tend to give special preference to those we love and care about. Equitably comes from the French équitable, ""equitable or fair,"" ultimately from the Latin aequitatem, ""equality, fairness.""equitable: equitably, inequitable/inequitable: inequitably    equitably"
oxytocin   /ˌɑːksɪˈtoʊsɪn/          n.[药] 催产素；缩宫素；脑下垂体后叶荷尔蒙之一种名词 100%	oxytocin  /ˌɑːksɪˈtoʊsɪn/       n.[药] 催产素；缩宫素；脑下垂体后叶荷尔蒙之一种名词 100%                                oxytocin
cloned   /kloʊnd/          无性繁殖原型:cloned 是 clon 的过去式和过去分词克隆 81%，复制 14%，无性繁殖 3%，复制品 2%	cloned  /kloʊnd/       无性繁殖原型:cloned 是 clon 的过去式和过去分词克隆 81%，复制 14%，无性繁殖 3%，复制品 2%                                cloned
clime   /klaɪm/          n.气候；地方风土 100%	"clime  /klaɪm/       n.气候；地方风土 100%                 来自 klei, 倾斜, 词源同 lean, incline. 原指从赤道到两极的区域, 地域, 气候带.      noun [ C usually plural ]uk/klaɪmz/ us/klaɪmz/ literary  a place where the weather is different in a particular way（具有某种气候的）地区，地带；气候带 We're off to sunnier climes next week.下周我们要去阳光明媚一些的地方。       Not to be confused with ""climb"", a clime is a region known for its weather. In the dead of winter, we dream about heading to sunny climes, where we can hang out in shorts.The key to remembering clime is that it's so similar to ""climate,"" with which it shares the Greek root klima, ""zone."" So a clime is a zone that has a characteristic climate. Folks in colder climes think nothing of the kind of snowfall that we down here in the south get all panicked about. But then again, when they come here to our warmer clime, they forget to put on sunscreen; people from one clime can learn a lot from a visit to a different clime.clime: climes   clime"
rollicking   /ˈrɑːlɪkɪŋ/          n.申斥；责骂adj.欢乐的；喧闹的动词rollick的现在分词和动名词形式. 50%，喧闹而欢乐的 50%	"rollicking  /ˈrɑːlɪkɪŋ/       n.申斥；责骂adj.欢乐的；喧闹的动词rollick的现在分词和动名词形式. 50%，喧闹而欢乐的 50%           The four friends are having a rollicking good time.这四位朋友正享受着翻云覆雨的美好时光。      →记1: rollicking→rollick(v. 嬉耍)+ing→嬉耍的 rollick→roll(v. 打滚)+ick→在地上滚来滚去→嬉耍 →参考: frolic(v. 嬉戏) 来自 roll 和 frolic 的合成词, -ing, 动名词后缀.【记】roll（v.滚动），lick（v.舔），ing：一个接一个的lick－狂欢的      adjective [ before noun ]uk/ˈrɒl.ɪ.kɪŋ/ us/ˈrɑː.lɪ.kɪŋ/ old-fashioned  happy, energetic, and often noisy兴高采烈的；喧闹嬉戏的；欢闹的 The play is described as ""a rollicking tale about love and lust"".这部剧被描述为“一个关于爱与欲的快活故事”。  noun [ C usually singular ]uk/ˈrɒl.ɪ.kɪŋ/ us/ˈrɑː.lɪ.kɪŋ/ UK informal  an occasion when someone tells you in a very angry way that you have done something wrong斥责 We got a rollicking from the coach at half time.中场休息时，我们挨了教练一通臭骂。       Something that's rollicking is really fun and playful. When you throw a party, you hope your friends will describe it as rollicking.Parties with live music and great food are usually rollicking, and a wonderful game of charades with your family can also be rollicking. You might even describe a funny movie or a song you can dance to this way. The root of rollicking is a nineteenth century verb that we don't use much these days, rollick, ""to behave exuberantly."" It, in turn, is most likely a combination of frolic and roll.rollicking: rollickingly/rollick: rollicked, rollicking, rollicks    rollicking"
dogfight   /ˈdɔːɡfaɪt/          n.混战；空战；狗咬狗vi.在空中缠斗；进行混战vt.用…进行空中格斗；同…混战混战 46%，空战 31%，斗狗 13%，进行混战 10%	dogfight  /ˈdɔːɡfaɪt/       n.混战；空战；狗咬狗vi.在空中缠斗；进行混战vt.用…进行空中格斗；同…混战混战 46%，空战 31%，斗狗 13%，进行混战 10%                 即狗战, 用来形容激烈的战斗.      noun [ C ]uk/ˈdɒɡ.faɪt/ us/ˈdɑːɡ.faɪt/   a fight between two military aircraft in which they fly very fast and very close to each other（两架战斗机之间的）空中格斗，激战 a fight between dogs, usually organized as an illegal entertainment斗狗（通常为非法性娱乐）          dogfight
roux   /ruː/          n.（用于加浓羹汤等的）乳酪面粉糊	"roux  /ruː/       n.（用于加浓羹汤等的）乳酪面粉糊                 来自法语 beurre roux, 棕黄油, 来自 beurre, 黄油, 词源同 butter, roux, 红棕色的, 来自拉丁语 russus, 红棕色的, 词源同 red, russet.      noun [ C or U ]uk/ruː/ us/ruː/ plural roux  a mixture made from equal amounts of fat and flour, used especially to make a sauce or soup thicker（尤指用来使酱、汤增稠的）油面糊       A roux is the base of many sauces, made by combining and cooking flour with some kind of fat. If you're making a Cajun recipe, your roux might be a mixture of flour and bacon fat.Cheese sauces, gravies, and staples of French cuisine like Béchamel sauce all begin as a roux. For most roux, you start by heating butter, oil, or another fat in a pan, then add flour and cook it while stirring or whisking until it's completely incorporated and there's no lingering taste of raw flour. Other ingredients, like milk, cream, cheese, or water, are added slowly to the roux. In French, roux means both ""browned butter"" and ""reddish-brown.""roux: rouxs   roux"
newfangled   /ˌnuːˈfæŋɡld/          adj.新奇的；新流行的；最新式的v.使流行（newfangle的过去式及过去分词）新奇的 62%，最新式的 23%，最新流行的 15%	newfangled  /ˌnuːˈfæŋɡld/       adj.新奇的；新流行的；最新式的v.使流行（newfangle的过去式及过去分词）新奇的 62%，最新式的 23%，最新流行的 15%                 new, 新的, fang, 牙齿, 咬. 引申词义咬住最新的, 与时俱进的, 新奇时髦的.      adjectiveuk/ˌnjuːˈfæŋ.ɡəld/ us/ˌnuːˈfæŋ.ɡəld/   disapproving recently made for the first time, but not always an improvement on what existed before新奇的；新式的；新花样的 I really don't understand these newfangled computer games that my grandchildren play.我真弄不懂我的孙孩们总在玩的那些新式电脑游戏。       Something newfangled is new, like a fancy new gadget or invention. This is a folksy way of describing a fashionable (and often too fashionable) thing.If someone says — “What is that newfangled thing?” — they’re using a humorous, casual word for things that are new, current, or fashionable — especially too-fashionable things. Using this word implies that the person isn’t very impressed with the newfangled thing, implying that it’s new for the sake of being new. This word is a little insulting, as in “Why do you always have to have a newfangled phone?” Calling something newfangled isn’t very respectful to the new thing.newfangled    newfangled
overextend   /ˌoʊvərɪkˈstend/          vt.过分扩展；过分延长；使…承担过多的义务时态:overextended, overextending, overextends过分展开 34%，过分延伸 33%，使 ... 承担过多的义务 33%	overextend  /ˌoʊvərɪkˈstend/       vt.过分扩展；过分延长；使…承担过多的义务时态:overextended, overextending, overextends过分展开 34%，过分延伸 33%，使 ... 承担过多的义务 33%                                overextend
chessboard   /ˈtʃesbɔːrd/          n.棋盘国际象棋棋盘 100%	chessboard  /ˈtʃesbɔːrd/       n.棋盘国际象棋棋盘 100%                       noun [ C ]uk/ˈtʃes.bɔːd/ us/-bɔːrd/   a square board divided into 64 smaller squares, half of which are light and half dark in colour, used for playing the game of chess or draughts国际象棋棋盘          chessboard
churchyard   /ˈtʃɜːrtʃjɑːrd/          n.境内；教堂院落，多做墓地墓地 78%，教堂庭院 12%，境内 10%	churchyard  /ˈtʃɜːrtʃjɑːrd/       n.境内；教堂院落，多做墓地墓地 78%，教堂庭院 12%，境内 10%                       noun [ C ]uk/ˈtʃɜːtʃ.jɑːd/ us/ˈtʃɝːtʃ.jɑːrd/   an area of land around a church, where dead bodies are buried教堂墓地          churchyard
off-center   /ˌɔːf ˈsentər/          adj.偏离中央的；不平衡的adv.歪斜不正地，不平衡地	"off-center  /ˌɔːf ˈsentər/       adj.偏离中央的；不平衡的adv.歪斜不正地，不平衡地                             Off-center things aren't in the exact middle. The part in your hair may be off-center, and so may be your political leanings.The meaning of off-center is fairly obvious: not right in the center, but off to one side. It's frustrating to watch a movie that's projected off-center, and if you're very particular, it might drive you crazy to see a knocker that's off-center on your friend's front door. This adjective also means ""a little weird"" or ""eccentric."" An off-center sense of humor is wacky and strange, and if you're feeling off-center, you might be coming down with the flu.off-center    off-center"
