#separator:tab
#html:false
two-point             n.二点[网络]二点交叉；两点侦测；两点法	two-point         n.二点[网络]二点交叉；两点侦测；两点法                                two-point
dawdle   /ˈdɔːd(ə)l/          vt.混日子；游手好闲；浪费时间vi.混日子；游手好闲；偷懒时态:dawdled, dawdling, dawdles闲逛 44%，浪费时间 31%，磨蹭 25%	"dawdle  /ˈdɔːd(ə)l/       vt.混日子；游手好闲；浪费时间vi.混日子；游手好闲；偷懒时态:dawdled, dawdling, dawdles闲逛 44%，浪费时间 31%，磨蹭 25%           Don't dawdle! The bus is about to leave!别磨蹭了！公交车就要出发了！      →记1: dawdle→waddle(v. 摇摇摆摆地走)→闲荡的人摇摇摆摆地走在大街上 来自古英语方言 daddle, 游荡, 比较 doodle, doddle, totter, toddle.【记】读：兜兜，即饭后的兜兜弯－闲逛 【参】dawdler（n.闲逛者；游手好闲的人） 【反】hie（v.催促；急忙）      verb [ I ]uk/ˈdɔː.dəl/ us/ˈdɑː.dəl/   to do something or go somewhere very slowly, taking more time than is necessary磨蹭；磨洋工；拖沓 Stop dawdling! You'll be late for school!别磨蹭了！你上学要迟到了！       There are lots of words that mean to move slowly. The point of dawdle is that one is moving too slowly, is falling behind, or is not properly focused on making progress.One way to remember the meaning of dawdle is that it rhymes with ""waddle,"" as in, ""a duck waddles."" Imagine what would happen if you waddled instead of walked. It would take a lot more time, and your companion might say, ""Don't dawdle!"" Dawdle implies not only taking extra time but actually wasting it. A leisurely walk in the woods is one thing, but if you have to get to the theater on time, don't dawdle along the way: you'll miss the curtain!dawdle: dawdled, dawdler, dawdles, dawdling/dawdler: dawdlers/dawdling: dawdlings    dawdle"
confounding    /kənˈfaʊnd/           n.[数] 混杂；混淆v.混淆（confound的ing形式）；使困惑，弄糊涂原型:confounding 是 confound 的现在分词混淆 94%，动词confound的现在分词形式. 6%词性：形容词 80%, 名词 20%	confounding   /kənˈfaʊnd/        n.[数] 混杂；混淆v.混淆（confound的ing形式）；使困惑，弄糊涂原型:confounding 是 confound 的现在分词混淆 94%，动词confound的现在分词形式. 6%词性：形容词 80%, 名词 20%                                confounding
smelt   /smelt/          n.香鱼；胡瓜鱼vt.熔炼，冶炼；精炼vi.熔炼，精炼v.闻（smell的过去式和过去分词）时态:smelted, smelting, smelts原型:smelt 是 smell 的过去式和过去分词熔炼 45%，胡瓜鱼 35%，香鱼 15%，动词smell的过去式和过去分词. 5%词性：动词 74%, 名词 26%	smelt  /smelt/       n.香鱼；胡瓜鱼vt.熔炼，冶炼；精炼vi.熔炼，精炼v.闻（smell的过去式和过去分词）时态:smelted, smelting, smelts原型:smelt 是 smell 的过去式和过去分词熔炼 45%，胡瓜鱼 35%，香鱼 15%，动词smell的过去式和过去分词. 5%词性：动词 74%, 名词 26%           The Stone Age ended when men first learned to smelt metals.当人们第一次学会冶炼金属时，石器时代就结束了。      →记1: smelt→melt(v. 熔化)→来自低地德语 smelten, 熔化, 熔炼, 来自 Proto-Germanic*smeltana, 熔化, 融化, 来自 smeld, 熔化, 融化, 词源同 melt, meld. 引申词义提炼金属.【区】melt（v.熔化－用热、压力等使固态转化为液态）      verbuk/smelt/ us/smelt/ UK  past simple and past participle of smell（smell的过去式及过去分词）  verb [ T ]uk/smelt/ us/smelt/   to get a metal from rock by heating it to a very high temperature, or to melt objects made from metal in order to use the metal to make something new提炼，炼取       No, this verb doesn't involve using your nose. When you smelt metal, you remove it from ore, or rock. Heat is required to smelt iron.Smelt looks a lot like melt and that is an easy way to remember what this process involves. To smelt metal, you have to heat the rock, which is called ore, until the metal inside it melts or liquefies. That metal is the part that has use and value, but hard work is needed to extract it.smelt: smelted, smelter, smeltery, smelting, smelts/smelter: smelters/smeltery: smelteries    smelt
saltwater   /ˈsɔːltwɔːtər/          adj.盐水的；海产的盐水的 63%，海产的 37%词性：形容词 59%, 名词 41%	saltwater  /ˈsɔːltwɔːtər/       adj.盐水的；海产的盐水的 63%，海产的 37%词性：形容词 59%, 名词 41%                                saltwater
co-payment             分担保险的金额共同支付分摊费用共付医疗费 100%	co-payment         分担保险的金额共同支付分摊费用共付医疗费 100%                                co-payment
resize   /ˌriːˈsaɪz/          vt.调整大小调整大小 100%	resize  /ˌriːˈsaɪz/       vt.调整大小调整大小 100%                 re-, 再, 重新, size, 确定尺寸, 大小.               resize
butch   /bʊtʃ/          n.充当男性角色的女同性恋者；粗鲁的男人或男孩adj.男性化的男性化的 67%，有男子气的 33%	butch  /bʊtʃ/       n.充当男性角色的女同性恋者；粗鲁的男人或男孩adj.男性化的男性化的 67%，有男子气的 33%                 来自 buck, 雄鹿. 插入字母 t.      adjectiveuk/bʊtʃ/ us/bʊtʃ/   (of a woman) looking or behaving like a man, or (of a man) being very strong with big muscles, and behaving in a traditionally male way（女子）男性化的；（男子）男子气的，雄纠纠气昂昂的          butch
brazenly   /ˈbreɪznli/          adv.厚脸皮地，厚颜无耻地无耻地 58%，厚脸皮地 42%	brazenly  /ˈbreɪznli/       adv.厚脸皮地，厚颜无耻地无耻地 58%，厚脸皮地 42%                                brazenly
presage   /ˈpresɪdʒ/          n.预感；前兆vt.预感；预言vi.预示；预言时态:presaged, presaging, presages预示 51%，预感 18%，预兆 15%，预言 8%，预知 8%	"presage  /ˈpresɪdʒ/       n.预感；前兆vt.预感；预言vi.预示；预言时态:presaged, presaging, presages预示 51%，预感 18%，预兆 15%，预言 8%，预知 8%           The crystal ball presaged the future, and the fortune teller could read it.水晶球预示着未来，而算命先生可以读懂它。      →记1: presage→pre+sage(n. 圣人, 先知)→预知 pre-, 在前, 早于, 预先, -sag, 感知, 寻求, 词源同 seek, sagacious.预感,预兆(pre预兆+sage→预先知道→预感)[sog=know,表示""知道""]【记】pre前，sage（n.智者，智慧）－有提前预知的智慧－预感 【类】harbinger:presage＝archetype:exemplify预兆有预测作用＝原型有示范作用      verb [ T ]uk/ˈpres.ɪdʒ/ /prɪˈseɪdʒ/ us/ˈpres.ɪdʒ/ /prɪˈseɪdʒ/ formal  to show or suggest that something, often something unpleasant, will happen预示，预兆（尤指不祥之事） But still the economy is not showing signs of any of the excesses that normally presage a recession.但经济仍未显露出任何过剩的迹象，这些迹象通常预示经济衰退。       A presage is a sign that something bad is about to happen, like when you get that queasy feeling in your stomach because your mom found out you skipped band practice to go to the movies.Presage, pronounced ""PREH-sige,"" can be a noun or a verb. As a noun, presage is a warning or omen of bad things to come, like a strange quiet and stillness in the air, presage to the coming tornado. As a verb, presage means ""to make a prediction or give a warning of what's to come."" A terrible end-of-season football game might presage the struggles that the team will face next season.presage: presaged, presages, presaging   presage"
educationally   /ˌedʒuˈkeɪʃənəli/          adv.教育上地教育上的 50%，有关教育的 25%，教育的 25%	educationally  /ˌedʒuˈkeɪʃənəli/       adv.教育上地教育上的 50%，有关教育的 25%，教育的 25%                                educationally
chartreuse   /ʃɑːrˈtruːz/          n.黄绿色；查特酒（法国查特修道院所酿的酒）adj.淡黄绿色的	chartreuse  /ʃɑːrˈtruːz/       n.黄绿色；查特酒（法国查特修道院所酿的酒）adj.淡黄绿色的                       noun [ U ]uk/ʃɑːˈtrɜːz/ us/ʃɑːrˈtruːz/ trademark  a brand name for a type of strong French alcoholic drink that is green or yellow察吐士酒，荨麻酒（一种呈绿色或黄色的法国烈酒）          chartreuse
anti-drug             adj.禁毒的；反毒品的反毒品 100%	anti-drug         adj.禁毒的；反毒品的反毒品 100%                                anti-drug
top-of-the-line             极品，最好的商品顶级的 50%，同类商品中最好的 50%	top-of-the-line         极品，最好的商品顶级的 50%，同类商品中最好的 50%                                top-of-the-line
tripe   /traɪp/          n.肚子；内脏；废话废话 100%	"tripe  /traɪp/       n.肚子；内脏；废话废话 100%                 来自古法语 tripe, 内脏, 特指可食用的牛肚, 百叶, 肠等, 词源不详, 可能借自阿拉伯某词.      noun [ U ]uk/traɪp/ us/traɪp/ mainly UK tripe noun [ U ] FOOD  the covering of the inside of the stomach of an animal, such as a cow or sheep, used for food肚子（指牛、羊等可供食用的胃） stewed tripe炖肚子  tripe noun [ U ] STUPID IDEAS  informal ideas, suggestions, or writing that are stupid, silly, or have little value蠢主意；胡说八道；无聊的作品 She said my last essay was complete tripe.她说我最近写的一篇文章完全是胡说八道。 People talk a lot of tripe about fashion.关于时尚，人们讲了很多无聊的东西。       Tripe is a kind of meat that consists of an animal's stomach lining. It may sound gross, but your tasty breakfast sausage may include a bit of tripe.While tripe isn't commonly found on most restaurant menus, it turns up more often than you might think. Breakfast sausages usually include beef and pork tripe, and international dishes from Korean stews to Mexican tacos to Eritrean stir-fries can all contain tripe. In Old French, tripe meant ""guts"" or ""entrails used as food,"" and in the 1500s it came to informally mean ""worthless person."" Today, tripe is also ""any nonsense or rubbish,"" particularly if it's written or spoken.tripe: tripes   tripe"
reduced-fat             [网络]低脂；降脂	reduced-fat         [网络]低脂；降脂                                reduced-fat
lemur   /ˈliːmər/          n.[脊椎] 狐猴狐猴 100%	lemur  /ˈliːmər/       n.[脊椎] 狐猴狐猴 100%                 来自拉丁语 lemur, 亡灵, 死者灵魂, 来自瑞典植物学家林奈命名, 因这种狐猴昼伏夜出而得名. 部分学者猜测是因为在马达加斯加传说中, 狐猴是其祖先之魂, 部分影响了林奈的命名.      noun [ C ]uk/ˈliː.mər/ us/ˈliː.mɚ/   a small animal from Madagascar, similar to a monkey with thick fur and a long tail, that lives in trees and is active at night狐猴          lemur
theism   /ˈθiːɪzəm/          n.有神论；一神论；茶中毒有神论 80%，一神论 20%	"theism  /ˈθiːɪzəm/       n.有神论；一神论；茶中毒有神论 80%，一神论 20%           Theism is the belief in a God or set of Gods.有神论是对一个或一组神的信仰。      →记1: theism→the(神)+ism(理论, 主义)→有神论 →参考: atheism(n. 无神论)the-, 神, -ism, 主义, 思想.有神论(the+ism主义,论)[the(a)=god表示""神""]      noun [ U ]uk/ˈθiː.ɪ.zəm/ us/ˈθiː.ɪ.zəm/   belief in the existence of a god or gods一神论Compareatheism (atheist)deism       Use the noun theism to describe the belief in at least one god. Practicing Catholics, for example, subscribe to theism.If you believe that God created the universe, you believe in theism. Its opposite is atheism, which means not believing in any god or higher spiritual power. There are different types of theism, such as monotheism, which is belief in only one god, and polytheism, belief in more than one god. The root of theism is the Greek word theos, or ""god."" English philosopher Ralph Cudworth was the first to use the term theism, in the 1600s.theism: theisms, theist, theistic/theist: theistical, theists/theistic: theistically    theism"
teat   /tiːt/          n.奶头，奶嘴；乳头奶头 46%，奶嘴 36%，乳头状物 18%	teat  /tiːt/       n.奶头，奶嘴；乳头奶头 46%，奶嘴 36%，乳头状物 18%                 →记1: teat→treat(v. 对待)→孕妇要善待自己的奶头 →参考: taste(v.  品尝) 词源同 tit, 奶头, 乳头. 该词多用于指小孩喝奶的奶嘴. tebibit 万亿比特      noun [ C ]uk/tiːt/ us/tiːt/  teat noun [ C ] ANIMAL  a part of a female mammal's body through which milk passes to her babies（雌性哺乳动物的）乳头  teat noun [ C ] BOTTLE  UK US nipple a piece of rubber or silicone for feeding a baby from a bottle（奶瓶上的）橡皮奶头          teat
