#separator:tab
#html:false
anti-government             adj.反对政府的	anti-government         adj.反对政府的                                anti-government
gladiator   /ˈɡlædieɪtər/          n.斗剑者；古罗马公开表演的格斗者；争论者角斗士 89%，与野兽搏斗者 11%	"gladiator  /ˈɡlædieɪtər/       n.斗剑者；古罗马公开表演的格斗者；争论者角斗士 89%，与野兽搏斗者 11%           Roman gladiators wore fantastic costumes and fought viciously.罗马角斗士们穿着梦幻般的服装，进行着恶毒的战斗。      来自 kel, 砍, 切, 词源同 clone, claymore.角斗士(gladi剑+ator)[-ator表名词,通常由ate结尾的动词而来,""做事的人或物] 角斗士(gladi剑→用剑斗)[-or表名词""人或物器"",在一些词根前写成""-ator""]【记】源于gladius（n.古罗马军队的短剑）glad高兴，ia病，tor人：一生病就高兴的人－角斗士，因为不用殊死搏斗了 【类】lawyer:courtroom＝gladiator:arena律师在法庭上争辩＝角斗士在竞技场上打斗      noun [ C ]uk/ˈɡlæd.i.eɪ.tər/ us/ˈɡlæd.i.eɪ.t̬ɚ/   in ancient Rome, a man who fought another man or an animal, usually until one of them died, for public entertainment（古罗马）角斗士       In ancient Rome, gladiators fought each other in front of an audience. Though these fights were called ""games,"" they often ended in the death of one of the gladiators.Although they were celebrated in art and applauded for their strength and fighting skill, it wasn't easy to be an ancient Roman gladiator. They were essentially slaves who were forced to fight, sometimes being matched against wild animals or criminals. While the gladiator games may seem horrible to us today, they lasted almost a thousand years. The word gladiator comes from the Latin gladius, or ""sword.""gladiator: gladiatorial, gladiators   gladiator"
pimple   /ˈpɪmpl/          n.疙瘩；[医] 丘疹；面疱粉刺 36%，丘疹 32%，疙瘩 26%，脓疱 6%	pimple  /ˈpɪmpl/       n.疙瘩；[医] 丘疹；面疱粉刺 36%，丘疹 32%，疙瘩 26%，脓疱 6%           When I was a teenager, my face was covered with pimples.当我还是青年的时候，我的脸长满了丘疹。      可能来自 pap, 乳头, 词源同 papilla, 乳头状突起, 丘疹. -le, 小词后缀.      noun [ C ]uk/ˈpɪm.pəl/ us/ˈpɪm.pəl/   a small raised spot on the skin that is temporary丘疹，小脓包，粉刺          pimple
fairground   /ˈferɡraʊnd/          n.露天市场；举行赛会的场所；游乐场游乐场 69%，集市 31%	"fairground  /ˈferɡraʊnd/       n.露天市场；举行赛会的场所；游乐场游乐场 69%，集市 31%           They put up a circus tent at the fairground.他们在游乐场搭起了一个马戏团的帐篷。      fair, 集市, 游乐. ground, 地方, 地面.      noun [ C ]uk/ˈfeə.ɡraʊnd/ us/ˈfer.ɡraʊnd/ US fairgrounds [ plural ]  a large outside area used for a fair露天游乐场 There was a small fairground just by the river, with a carousel, a roller coaster and a Ferris wheel.河边有一座小型露天游乐场，里面有旋转木马、过山车和摩天轮。       A fairground is an open outdoor area where a fair, circus, or some other exhibition sets up temporarily. Many county fairs are put on at the same fairground for a week or two each summer. Many funnel cakes are eaten there.Most fairgrounds have space for rides like Ferris wheels and bumper cars. Agricultural fairs might also have exhibit areas where visitors can see animals, handmade items, baked goods, giant watermelons, and other impressive produce. A traveling circus or carnival might also set up on fairground. The central section of a fairground is usually called a ""midway.""fairground: fairgrounds   fairground"
twinge   /twɪndʒ/          n.阵痛；悔恨vt.使刺痛；使感到剧痛vi.刺痛；感到剧痛时态:twinged, twingeing, twinges	"twinge  /twɪndʒ/       n.阵痛；悔恨vt.使刺痛；使感到剧痛vi.刺痛；感到剧痛时态:twinged, twingeing, twinges                 →记1: twinge 音“臀疾”→臀疾令他的屁股一阵阵剧痛 来自古英语 twengan, 掐, 拧, 来自 Proto-Germanic*twangjan, 掐, 拧, 来自 twengh, 拧, 挤压, 可能来自 dwo, 二, 词源同 thong, two, twine.【记】twi＝twist扭，wing翅，e：翅膀被扭－剧痛      noun [ C ]uk/twɪndʒ/ us/twɪndʒ/   a sudden short feeling of physical or mental pain剧痛，刺痛；痛苦，难过 I felt a twinge in my knee.我感到膝盖一阵剧痛。 He was feeling twinges from a calf injury after 20 minutes of the game.比赛20分钟后他感到受伤的小腿剧痛。 I admit I felt a twinge of guilt as we left.我承认，在我们离开时我感到非常内疚。       A twinge is a sting or pang of pain that happens suddenly. Are you recovering from a basketball injury? You may still feel a twinge of discomfort in your knee when you do a layup.You can experience a physically painful twinge, but there are also twinges that are more emotional, like the twinge of sadness you feel when you look at photos of your old house. Use this word as a verb, too, if you like: ""Did your shoulders twinge when you gave your little brother a piggyback ride?"" Long ago, to twinge meant to pinch, and the word's origin traces back to the Old English twengan, ""to pinch.""twinge: twinged, twinges, twinging   twinge"
silliness   /ˈsɪlinəs/          n.愚蠢；糊涂愚蠢 75%，糊涂 25%	silliness  /ˈsɪlinəs/       n.愚蠢；糊涂愚蠢 75%，糊涂 25%                       noun [ U ]uk/ˈsɪl.i.nəs/ us/ˈsɪl.i.nəs/   silly behaviour愚蠢，糊涂          silliness
weirdly   /ˈwɪrdli/          adv.古怪地古怪地 100%	weirdly  /ˈwɪrdli/       adv.古怪地古怪地 100%                                weirdly
magnate   /ˈmæɡneɪt/          n.巨头；大资本家；要人；富豪；……大王巨头 100%	"magnate  /ˈmæɡneɪt/       n.巨头；大资本家；要人；富豪；……大王巨头 100%           An oil magnate is a very important person.石油大亨是非常重要的人物。      →记1: magnate→magn(=great 大的)+ate→greatmen→大人物 magn→mang 音“莽”→大莽蛇 →参考: magnet(n. 磁铁), magnify(v. 放大, 扩大) 来自拉丁语 magnus, 伟大的, 巨大的, 富贵的, 词源同 major, master. 引申词义伟人, 贵族等, 但现多含贬义.      noun [ C ]uk/ˈmæɡ.nət/ us/ˈmæɡ.nət/   a person who is very rich and successful in business or industry富豪，大亨；工商业巨头 a well-known shipping magnate赫赫有名的船王       If you’re a hugely successful businessperson, particularly if you’ve cornered the market in a specific area, you’re a magnate. Magnates are often larger-than-life characters, like that oil tycoon who wears a cowboy hat with his tuxedo.Historically, a magnate was a man of noble birth (from the Latin magnus, meaning ""a nobleman,"" or at least someone distinguished by his achievements. In the twentieth century, the stock of a magnate has rather fallen. If you’re vulgar and loud-spoken as well as rich, you’re probably a magnate. Thanks to the legendary movie producer Samuel Goldwyn, all film studio heads are now ""studio magnates.""magnate: magnates   magnate"
clergyman   /ˈklɜːrdʒimən/          n.牧师；教士牧师 74%，教士 20%，神职人员 6%	clergyman  /ˈklɜːrdʒimən/       n.牧师；教士牧师 74%，教士 20%，神职人员 6%           I can tell by his clothing that he is a clergyman.我能通过衣服判断出他是一个牧师。            noun [ C ]uk/ˈklɜː.dʒi.mən/ us/ˈklɝː.dʒi.mən/ plural -men uk/-mən/ us  a man who is a member of the clergy（男）牧师，教士          clergyman
lingo   /ˈlɪŋɡoʊ/          n.行话；术语；隐语行话 42%，术语 33%，语言 25%	"lingo  /ˈlɪŋɡoʊ/       n.行话；术语；隐语行话 42%，术语 33%，语言 25%           After you've been in business for a while, you start to learn the lingo.在你做了一段时间的生意后，你开始学习行话。      →记1: lingo→login(v. 登录)→用隐语登录系统 →参考: cant(n. 隐语；黑话)来自拉丁语 lingua, 舌头, 语言. 用以指外国话, 外国语.      noun [ C usually singular ]uk/ˈlɪŋ.ɡəʊ/ us/ˈlɪŋ.ɡoʊ/ plural lingos or lingoes informal  a foreign language外国语言，外国话 In Italy, of course, Stef can speak the lingo.在意大利斯泰夫当然可以说意大利语。 a type of language that contains a lot of unusual or technical expressions隐语；行话，术语 internet lingo因特网术语       Lingo is a way of speaking that's shared by a particular group of people — it's their own personal slang or jargon. You might observe International Talk Like a Pirate Day by trying to speak only pirate lingo.Sometimes people refer to the language or dialect spoken in a place as its lingo: ""I'd love to visit Paris, but I don't speak the lingo."" You're more likely to hear lingo in the context of the words and phrases one group understands, but that outsiders might not, like computer lingo or English major lingo, or musician's lingo. Lingo shares a Latin root, lingua, or ""tongue,"" with words like language and linguist.lingo: lingoes, lingos   lingo"
populism   /ˈpɑːpjəlɪzəm/          n. 民粹主义，平民主义	"populism  /ˈpɑːpjəlɪzəm/       n. 民粹主义，平民主义                 popul-, 人, 民众, -ism, 主义, 思想.      noun [ U ]uk/ˈpɒp.jə.lɪ.zəm/ us/ˈpɑː.pjə.lɪ.zəm/ mainly disapproving  political ideas and activities that are intended to get the support of ordinary people by giving them what they want平民主义，平民论；民粹主义 Their ideas are simple populism - tax cuts and higher wages.他们的主张就是民粹主义——减税加薪。       If you feel that ordinary working people should have the strongest political voice, you can say you believe in populism.In politics, the term populism can have different meanings depending on who is using it and what their political goals are. At its root, populism is a belief in the power of regular people, and in their right to have control over their government rather than a small group of political insiders or a wealthy elite. The word populism comes from the Latin word for ""people,"" populus.populism: populist/populist: populists    populism"
obsessively   /əbˈsesɪvli/          adv.过分地；着迷地，着魔似地困扰地 100%	obsessively  /əbˈsesɪvli/       adv.过分地；着迷地，着魔似地困扰地 100%                                obsessively
episodic   /ˌepɪˈsɑːdɪk/          adj.插曲式的adj.偶然发生的插曲式的 41%，偶然发生的 26%，短暂的 20%，由一系列片段组成的 13%	"episodic  /ˌepɪˈsɑːdɪk/       adj.插曲式的adj.偶然发生的插曲式的 41%，偶然发生的 26%，短暂的 20%，由一系列片段组成的 13%                       adjectiveuk/ˌep.ɪˈsɒd.ɪk/ us/ˌep.əˈsɑː.dɪk/ formal episodic adjective EVENT  happening only sometimes and not regularly偶尔发生的；不定期的 The war between these two countries has been long-drawn-out and episodic.这两个国家之间时断时续的战争持续了好多年。  episodic adjective STORY  Episodic stories are divided into several parts, especially when they are broadcast on the television or radio.（尤指电视或广播节目）有许多片段的 an episodic drama series一部（分集的）连续剧       If you have an episodic interest in professional sports, you pay attention to sports from time to time, but you're not a regular fan. The adjective episodic is often used to mean ""occasional"" or ""every once in a while.""If you have a bad cough that comes and goes, you could call it an ""episodic condition."" When used in this way, episodic suggests that the cough appears at irregular, or random, intervals. Episodic can also describe the way certain stories are told. An ""episodic narrative"" is a story that is told through a series of episodes, or segments. A soap opera on television, for instance, is an episodic program.episodic: episodically   episodic"
